n, tiempo_bck
1, 3744
2, 7424
3, 11387
4, 15321
5, 15269
6, 21087
7, 18931
8, 23744
9, 32640
10, 27307
11, 39039
12, 58546
13, 46840
14, 62468
15, 31250
16, 62437
17, 0
18, 250250
19, 0
20, 0
21, 0
22, 0
23, 0
24, 2000000
25, 3997000
26, 1003000
27, 4993000
28, 998000
29, 3997000
30, 15990000
31, 4996000
32, 16988000
33, 3996000
34, 17988000
35, 997000
36, 6997000
37, 0
38, 5996000
39, 0
40, 10993000
41, 0
42, 16988000
43, 0
44, 16989000
45, 0
46, 17982000
47, 0
48, 488657000
49, 2840430000
50, 498660000
51, 2887945000
52, 509670000
53, 2977506000
54, 509166000
55, 2706899000
56, 16687293000
57, 2763151000
